iter	Passed	Remaining
0	28	2240247
1	53	2157464
2	78	2092290
3	102	2056785
4	128	2053637
5	154	2054266
6	179	2050490
7	205	2058203
8	230	2052084
9	257	2057306
10	280	2039903
11	307	2049436
12	333	2050241
13	357	2040432
14	379	2021704
15	401	2006275
16	423	1993377
17	446	1985396
18	471	1984886
19	496	1984412
20	521	1985684
21	546	1987471
22	574	1996386
23	599	1998821
24	626	2005487
25	653	2011501
26	678	2009852
27	703	2010051
28	727	2005469
29	751	2001996
30	775	2000263
31	798	1994716
32	822	1992725
33	846	1991656
34	880	2011948
35	940	2090002
36	965	2087392
37	992	2087903
38	1016	2083410
39	1074	2147950
40	1103	2152234
41	1127	2147187
42	1154	2146467
43	1181	2147522
44	1206	2144454
45	1230	2138925
46	1254	2133738
47	1277	2127275
48	1299	2120303
49	1323	2115792
50	1344	2108356
51	1368	2103470
52	1390	2097848
53	1414	2094264
54	1438	2090653
55	1461	2086175
56	1484	2082509
57	1508	2079008
58	1530	2073143
59	1553	2069148
60	1575	2065294
61	1598	2061105
62	1621	2057779
63	1643	2053231
64	1666	2049256
65	1689	2045772
66	1711	2041770
67	1735	2040030
68	1758	2037144
69	1781	2034061
70	1804	2031755
71	1826	2027383
72	1849	2024918
73	1872	2022655
74	1896	2020797
75	1919	2018429
76	1942	2016246
77	1965	2013534
78	1988	2011211
79	2010	2008253
80	2033	2006112
81	2056	2004091
82	2079	2002535
83	2103	2001271
84	2126	1999027
85	2150	1998457
86	2172	1995711
87	2195	1993714
88	2218	1992314
89	2241	1990162
90	2264	1988575
91	2289	1988149
92	2312	1987266
93	2336	1986481
94	2361	1986040
95	2384	1984876
96	2407	1983238
97	2430	1981773
98	2453	1980469
99	2476	1978791
100	2499	1977625
101	2522	1976078
102	2544	1974094
103	2568	1973388
104	2590	1971382
105	2612	1969349
106	2636	1968364
107	2659	1967245
108	2682	1966111
109	2704	1964334
110	2727	1962948
111	2750	1962065
112	2773	1960839
113	2796	1959947
114	2819	1958749
115	2842	1957383
116	2865	1956195
117	2887	1954849
118	2910	1953439
119	2933	1952663
120	2956	1951449
121	2978	1949855
122	3000	1948821
123	3023	1947322
124	3045	1946263
